Trial,ToneType,RewardGiven,Timestamp,Elapsed_ms,LickCount
1,TIMEOUT,None,2025-08-01 14:14:40,10098,0
2,TIMEOUT,None,2025-08-01 14:14:51,20653,0
3,TIMEOUT,None,2025-08-01 14:15:01,31160,0
4,TIMEOUT,None,2025-08-01 14:15:12,41670,0
5,Unknown,None,2025-08-01 14:15:15,45307,0
6,TIMEOUT,None,2025-08-01 14:15:26,55831,0
7,TIMEOUT,None,2025-08-01 14:15:36,66343,0
8,TIMEOUT,None,2025-08-01 14:15:47,76850,0
9,TIMEOUT,None,2025-08-01 14:15:57,87363,0

SUMMARY
Reward Avg Lick,No-Reward Avg Lick,Reward/No-reward Ratio
0.00,0.00,inf
